age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,gender,capital_gain,capital_loss,hours_per_week,native_country,income
26,Private,690231,Bachelors,12,Never-married,Protective-serv,Own-child,White,Male,0,0,32,United-States,>50K
67,Private,323990,Some-college,9,Never-married,Other-service,Other-relative,White,Male,0,0,86,United-States,>50K
77,Private,380631,7th-8th,10,Married-civ-spouse,Farming-fishing,Own-child,White,Male,0,0,63,United-States,<=50K
32,Self-emp,452207,Prof-school,6,Divorced,Sales,Wife,White,Male,0,0,62,United-States,>50K
53,Without-pay,792179,Bachelors,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,58,United-States,>50K
80,Self-emp,843568,7th-8th,9,Never-married,Transport-moving,Other-relative,White,Male,0,0,87,United-States,>50K
86,Private,736389,Bachelors,1,Married-civ-spouse,Machine-op-inspct,Own-child,White,Female,0,0,87,Philippines,>50K
58,Private,42548,9th,6,Married-civ-spouse,Farming-fishing,Unmarried,White,Female,0,0,89,United-States,>50K
41,Private,657199,Prof-school,12,Separated,Machine-op-inspct,Other-relative,White,Female,0,0,58,United-States,>50K
66,Private,801082,Doctorate,5,Married-civ-spouse,Tech-support,Wife,White,Male,0,0,69,United-States,>50K
35,Private,591566,Masters,13,Married-civ-spouse,Farming-fishing,Unmarried,Amer-Indian-Eskimo,Male,0,0,74,United-States,>50K
24,Private,185907,1st-4th,11,Married-civ-spouse,Prof-specialty,Own-child,White,Female,0,0,41,United-States,<=50K
21,Self-emp,550513,Assoc-acdm,15,Married-civ-spouse,Tech-support,Own-child,White,Male,0,0,88,United-States,>50K
86,Private,55360,Bachelors,6,Divorced,Prof-specialty,Husband,White,Male,0,0,30,United-States,<=50K
77,Private,731688,Some-college,14,Married-civ-spouse,Handlers-cleaners,Husband,Asian-Pac-Islander,Male,0,0,27,Mexico,>50K
72,Private,760699,Assoc-voc,11,Married-civ-spouse,Craft-repair,Own-child,White,Male,0,2304,69,United-States,<=50K
33,Private,456559,Some-college,8,Married-civ-spouse,Adm-clerical,Unmarried,White,Female,0,0,22,United-States,<=50K
46,Private,764753,Prof-school,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,33,United-States,<=50K
40,Private,860440,Masters,2,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,39,United-States,<=50K
31,Private,67573,7th-8th,12,Married-civ-spouse,Farming-fishing,Unmarried,White,Male,0,0,11,United-States,>50K
66,Private,586220,Prof-school,12,Married-civ-spouse,Protective-serv,Not-in-family,White,Male,0,0,92,United-States,>50K
50,Private,923765,1st-4th,2,Married-civ-spouse,Sales,Other-relative,White,Male,0,0,34,United-States,<=50K
42,Self-emp,555169,11th,10,Never-married,Sales,Not-in-family,White,Male,0,0,59,United-States,>50K
38,Government,567845,Masters,5,Never-married,Priv-house-serv,Not-in-family,White,Female,0,0,23,United-States,<=50K
34,Private,210802,10th,3,Married-civ-spouse,Machine-op-inspct,Other-relative,White,Female,0,0,15,United-States,<=50K
40,Private,743454,Assoc-acdm,10,Married-civ-spouse,Tech-support,Own-child,White,Female,0,0,85,United-States,>50K
74,Self-emp,495126,Assoc-voc,3,Divorced,Machine-op-inspct,Own-child,White,Female,0,0,93,United-States,<=50K
75,Private,333468,12th,8,Never-married,Handlers-cleaners,Husband,White,Male,0,0,96,United-States,>50K
31,Private,817273,Doctorate,7,Separated,Priv-house-serv,Wife,Asian-Pac-Islander,Female,0,0,39,United-States,<=50K
37,Private,285619,Masters,1,Married-civ-spouse,Handlers-cleaners,Own-child,White,Male,0,0,39,United-States,>50K
47,Private,540959,12th,12,Divorced,Adm-clerical,Other-relative,White,Male,0,0,47,United-States,<=50K
36,Self-emp,201656,Masters,13,Never-married,Protective-serv,Wife,White,Male,0,0,67,United-States,>50K
70,Self-emp,566052,9th,12,Married-civ-spouse,Farming-fishing,Other-relative,Asian-Pac-Islander,Male,0,0,50,United-States,>50K
73,Private,457003,5th-6th,5,Married-civ-spouse,Handlers-cleaners,Other-relative,White,Male,42340,0,66,United-States,<=50K
40,Private,933465,11th,9,Married-civ-spouse,Craft-repair,Other-relative,White,Male,0,0,45,United-States,<=50K
79,Private,328034,Masters,4,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,73,United-States,>50K
50,Private,382496,HS-grad,1,Married-civ-spouse,Tech-support,Not-in-family,White,Male,78653,0,25,United-States,<=50K
35,Without-pay,399952,12th,8,Never-married,Handlers-cleaners,Unmarried,White,Male,0,2828,97,United-States,<=50K
50,Private,860316,HS-grad,5,Married-civ-spouse,Exec-managerial,Other-relative,White,Male,0,0,87,United-States,<=50K
49,Private,277299,Some-college,2,Married-civ-spouse,Sales,Husband,White,Male,0,0,81,United-States,<=50K
78,Self-emp,663806,5th-6th,15,Never-married,Exec-managerial,Own-child,Asian-Pac-Islander,Female,0,0,23,United-States,<=50K
71,Self-emp,763977,Assoc-voc,12,Married-civ-spouse,Farming-fishing,Unmarried,White,Male,0,0,40,Philippines,>50K
34,Self-emp,262393,Preschool,1,Married-civ-spouse,Farming-fishing,Own-child,White,Female,0,0,75,United-States,<=50K
36,Private,400419,1st-4th,14,Married-civ-spouse,Prof-specialty,Own-child,White,Female,0,0,77,United-States,>50K
87,Private,75768,HS-grad,12,Married-civ-spouse,Priv-house-serv,Wife,White,Male,0,0,74,United-States,>50K
51,Private,654711,HS-grad,12,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,64,Philippines,<=50K
42,Private,70851,5th-6th,12,Never-married,Prof-specialty,Husband,White,Female,0,0,93,United-States,>50K
85,Without-pay,936725,5th-6th,3,Married-civ-spouse,Tech-support,Unmarried,White,Female,0,0,87,United-States,<=50K
28,Private,54566,10th,9,Divorced,Craft-repair,Husband,Black,Female,0,242,49,United-States,<=50K
33,Government,755129,1st-4th,1,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Female,71360,0,34,United-States,<=50K
78,Private,405927,9th,4,Separated,Sales,Husband,White,Male,0,0,34,United-States,>50K
24,Government,153603,Assoc-acdm,8,Divorced,Prof-specialty,Unmarried,White,Male,0,0,12,United-States,<=50K
33,Private,937984,Assoc-acdm,8,Never-married,Priv-house-serv,Not-in-family,Black,Male,0,0,78,United-States,>50K
33,Without-pay,968212,Masters,10,Married-civ-spouse,Priv-house-serv,Husband,White,Female,0,178,35,United-States,>50K
57,Private,808623,7th-8th,12,Never-married,Transport-moving,Husband,Black,Male,0,0,49,United-States,<=50K
29,Private,987453,HS-grad,11,Never-married,Protective-serv,Wife,White,Male,0,0,47,United-States,>50K
52,Self-emp,259104,7th-8th,13,Never-married,Adm-clerical,Wife,White,Male,0,0,47,United-States,>50K
38,Private,733018,Bachelors,11,Married-civ-spouse,Priv-house-serv,Husband,White,Male,0,0,77,United-States,>50K
67,Private,13779,Masters,8,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,0,16,United-States,>50K
60,Without-pay,867622,7th-8th,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,0,0,39,United-States,<=50K
34,Private,644966,Preschool,8,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,28,United-States,>50K
49,Private,920192,5th-6th,4,Never-married,Craft-repair,Husband,White,Female,0,0,44,United-States,>50K
58,Private,271752,Bachelors,8,Divorced,Adm-clerical,Other-relative,White,Male,0,0,42,United-States,>50K
23,Self-emp,994212,5th-6th,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,42,Mexico,<=50K
44,Private,17317,Assoc-voc,7,Married-civ-spouse,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0,0,87,United-States,<=50K
37,Private,722256,Assoc-acdm,14,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,47,United-States,<=50K
42,Private,534447,Assoc-voc,12,Married-civ-spouse,Craft-repair,Own-child,White,Male,12532,0,19,United-States,>50K
83,Private,135373,7th-8th,2,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,0,0,66,United-States,<=50K
26,Private,591403,12th,9,Never-married,Farming-fishing,Husband,White,Male,0,2672,37,Mexico,<=50K
70,Private,208737,Preschool,11,Married-civ-spouse,Adm-clerical,Own-child,Amer-Indian-Eskimo,Male,0,0,87,United-States,>50K
78,Private,29462,HS-grad,8,Never-married,Priv-house-serv,Unmarried,White,Male,0,0,47,United-States,>50K
55,Private,225221,Preschool,13,Divorced,Machine-op-inspct,Own-child,White,Male,0,1101,25,United-States,<=50K
20,Private,799349,Preschool,5,Never-married,Craft-repair,Not-in-family,White,Male,0,0,30,United-States,<=50K
87,Private,422613,1st-4th,15,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,15,United-States,>50K
72,Private,298269,7th-8th,12,Married-civ-spouse,Other-service,Other-relative,White,Male,98218,0,50,United-States,>50K
18,Private,252141,11th,3,Married-civ-spouse,Other-service,Not-in-family,Black,Male,0,0,24,United-States,>50K
87,Private,999366,12th,7,Married-civ-spouse,Adm-clerical,Other-relative,White,Male,0,0,12,Philippines,>50K
62,Private,726089,Masters,14,Divorced,Protective-serv,Husband,White,Female,0,0,52,United-States,<=50K
64,Private,765243,Masters,14,Never-married,Adm-clerical,Own-child,White,Male,0,0,56,United-States,>50K
43,Self-emp,319421,7th-8th,15,Married-civ-spouse,Adm-clerical,Unmarried,White,Male,0,0,23,United-States,<=50K
31,Private,810781,10th,2,Married-civ-spouse,Sales,Unmarried,White,Female,0,0,75,United-States,<=50K
71,Private,70715,Bachelors,13,Never-married,Priv-house-serv,Not-in-family,White,Male,0,0,38,United-States,>50K
88,Private,175800,Doctorate,3,Married-civ-spouse,Armed-Forces,Not-in-family,White,Male,0,0,13,United-States,<=50K
63,Private,171864,Prof-school,12,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,35,United-States,<=50K
48,Government,542190,5th-6th,9,Never-married,Protective-serv,Wife,White,Male,0,0,21,United-States,>50K
76,Private,655633,12th,4,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,11,United-States,<=50K
46,Private,89569,Prof-school,4,Never-married,Protective-serv,Unmarried,White,Female,0,0,26,United-States,<=50K
34,Private,898580,Bachelors,3,Never-married,Protective-serv,Husband,White,Male,0,0,44,United-States,>50K
31,Private,899433,Bachelors,5,Never-married,Exec-managerial,Wife,Black,Female,0,0,19,United-States,<=50K
53,Private,569446,11th,3,Never-married,Protective-serv,Not-in-family,White,Female,0,0,95,United-States,>50K
75,Private,765083,7th-8th,9,Married-civ-spouse,Tech-support,Not-in-family,White,Male,85148,0,52,United-States,<=50K
41,Government,13917,Assoc-voc,15,Married-civ-spouse,Adm-clerical,Other-relative,White,Female,0,0,30,United-States,<=50K
80,Private,235019,Assoc-acdm,3,Widowed,Prof-specialty,Wife,White,Male,0,0,24,United-States,>50K
42,Private,876174,7th-8th,2,Married-civ-spouse,Other-service,Own-child,White,Female,0,0,44,United-States,<=50K
76,Private,940124,HS-grad,12,Divorced,Other-service,Unmarried,White,Female,70474,0,94,United-States,>50K
49,Private,923762,HS-grad,5,Never-married,Armed-Forces,Husband,White,Male,0,0,94,United-States,<=50K
35,Private,742718,11th,6,Divorced,Armed-Forces,Own-child,White,Male,0,0,94,Philippines,>50K
54,Private,113246,Prof-school,1,Married-civ-spouse,Farming-fishing,Own-child,White,Male,0,0,69,United-States,<=50K
43,Private,477106,Prof-school,14,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,53,United-States,>50K
26,Private,34691,1st-4th,12,Married-civ-spouse,Protective-serv,Not-in-family,White,Female,0,0,14,Philippines,<=50K
81,Government,492706,Doctorate,11,Married-civ-spouse,Machine-op-inspct,Unmarried,White,Female,0,0,82,Philippines,<=50K
89,Private,605022,12th,6,Separated,Craft-repair,Other-relative,Asian-Pac-Islander,Male,0,0,27,United-States,>50K
37,Self-emp,560334,Assoc-voc,10,Never-married,Priv-house-serv,Not-in-family,White,Male,0,0,30,United-States,<=50K
71,Private,687746,Preschool,3,Never-married,Tech-support,Not-in-family,White,Male,0,0,81,Other,>50K
47,Private,938775,Assoc-voc,4,Married-civ-spouse,Handlers-cleaners,Wife,White,Male,0,0,83,United-States,>50K
70,Government,162598,5th-6th,6,Married-civ-spouse,Armed-Forces,Own-child,Black,Male,0,0,60,United-States,>50K
80,Private,128540,Assoc-acdm,8,Married-civ-spouse,Transport-moving,Own-child,White,Male,0,0,50,United-States,>50K
28,Self-emp,53798,HS-grad,15,Married-civ-spouse,Adm-clerical,Unmarried,White,Female,0,0,33,United-States,>50K
48,Self-emp,518446,Assoc-voc,9,Divorced,Prof-specialty,Own-child,White,Male,0,0,33,United-States,>50K
66,Private,657581,Doctorate,6,Divorced,Machine-op-inspct,Other-relative,White,Male,0,0,47,United-States,>50K
36,Private,428473,Some-college,7,Married-civ-spouse,Machine-op-inspct,Other-relative,White,Female,0,2524,53,United-States,>50K
29,Private,723345,10th,15,Divorced,Adm-clerical,Other-relative,White,Male,0,0,66,United-States,>50K
32,Government,456346,1st-4th,14,Widowed,Handlers-cleaners,Husband,White,Female,0,0,68,United-States,>50K
48,Self-emp,781480,Preschool,5,Married-civ-spouse,Adm-clerical,Unmarried,White,Female,0,0,43,United-States,<=50K
60,Private,608684,7th-8th,14,Divorced,Adm-clerical,Other-relative,Black,Male,0,0,84,United-States,<=50K
54,Private,429861,Assoc-voc,12,Married-civ-spouse,Priv-house-serv,Wife,White,Male,0,0,91,United-States,>50K
46,Private,427405,Some-college,15,Divorced,Transport-moving,Wife,White,Male,0,0,32,United-States,>50K
43,Private,615586,12th,9,Married-civ-spouse,Tech-support,Not-in-family,White,Male,15646,0,95,United-States,>50K
19,Private,142040,Some-college,4,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,52,United-States,<=50K
32,Private,277944,10th,10,Married-civ-spouse,Priv-house-serv,Unmarried,Black,Male,0,0,91,United-States,>50K
21,Private,951733,Assoc-acdm,11,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,0,0,49,United-States,>50K
67,Private,330668,Masters,6,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,56,United-States,<=50K
55,Self-emp,106585,Assoc-voc,5,Married-civ-spouse,Adm-clerical,Wife,White,Male,0,0,50,United-States,<=50K
40,Government,432933,7th-8th,1,Married-civ-spouse,Sales,Not-in-family,White,Female,0,0,56,United-States,<=50K
76,Self-emp,392423,5th-6th,5,Divorced,Protective-serv,Wife,White,Male,0,0,29,United-States,<=50K
45,Self-emp,490519,HS-grad,13,Married-civ-spouse,Craft-repair,Other-relative,White,Male,0,0,86,United-States,<=50K
83,Private,476222,9th,5,Never-married,Transport-moving,Other-relative,White,Male,0,0,74,United-States,<=50K
25,Private,926357,Doctorate,14,Divorced,Adm-clerical,Unmarried,White,Female,0,0,77,United-States,>50K
46,Private,990742,12th,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,33,United-States,<=50K
28,Self-emp,670179,Preschool,1,Married-civ-spouse,Priv-house-serv,Not-in-family,Black,Female,0,0,45,United-States,<=50K
35,Government,853216,5th-6th,15,Never-married,Machine-op-inspct,Other-relative,White,Female,0,0,54,United-States,<=50K
72,Self-emp,766899,10th,5,Married-civ-spouse,Other-service,Other-relative,White,Male,0,0,11,United-States,<=50K
67,Government,97175,Some-college,15,Never-married,Exec-managerial,Unmarried,White,Female,0,0,37,United-States,>50K
31,Private,518155,Assoc-acdm,7,Married-civ-spouse,Craft-repair,Own-child,White,Male,31619,0,35,United-States,>50K
26,Private,997340,HS-grad,11,Never-married,Armed-Forces,Own-child,White,Male,0,0,32,India,<=50K
28,Private,56935,9th,6,Separated,Other-service,Unmarried,White,Male,0,0,88,United-States,<=50K
80,Private,975933,7th-8th,6,Never-married,Tech-support,Wife,White,Male,0,0,45,United-States,<=50K
84,Private,741967,Some-college,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,15,United-States,<=50K
70,Private,669358,Assoc-voc,7,Divorced,Exec-managerial,Unmarried,White,Female,0,0,44,United-States,<=50K
56,Private,51750,Assoc-voc,6,Divorced,Priv-house-serv,Own-child,Black,Male,0,0,47,United-States,>50K
73,Private,408396,9th,5,Divorced,Craft-repair,Husband,White,Male,0,0,44,Other,<=50K
45,Private,874720,10th,10,Married-civ-spouse,Other-service,Other-relative,White,Male,0,0,83,United-States,>50K
56,Private,826945,Preschool,5,Never-married,Priv-house-serv,Unmarried,White,Male,0,0,62,United-States,<=50K
42,Private,113725,Prof-school,9,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,47,United-States,<=50K
38,Private,552167,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,68,United-States,<=50K
27,Private,886330,10th,8,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,52,United-States,>50K
60,Self-emp,333977,11th,14,Married-civ-spouse,Priv-house-serv,Other-relative,White,Male,0,0,13,United-States,>50K
32,Private,24316,Bachelors,12,Never-married,Adm-clerical,Unmarried,White,Male,0,0,14,Other,>50K
65,Private,689885,HS-grad,15,Never-married,Sales,Not-in-family,White,Male,0,0,77,United-States,>50K
38,Government,801810,11th,10,Separated,Exec-managerial,Other-relative,White,Female,0,0,54,United-States,<=50K
77,Government,714029,Some-college,14,Never-married,Transport-moving,Own-child,Black,Male,0,0,89,United-States,>50K
67,Government,405793,Assoc-acdm,4,Divorced,Craft-repair,Unmarried,White,Female,0,2774,34,United-States,<=50K
40,Private,162762,Assoc-voc,4,Married-civ-spouse,Prof-specialty,Own-child,White,Male,0,0,87,United-States,>50K
30,Private,378581,12th,10,Divorced,Sales,Not-in-family,White,Male,0,0,20,United-States,<=50K
86,Private,764899,Assoc-voc,5,Married-civ-spouse,Exec-managerial,Other-relative,White,Male,0,604,38,United-States,<=50K
21,Private,256818,1st-4th,13,Married-civ-spouse,Handlers-cleaners,Husband,White,Female,0,0,43,Mexico,<=50K
89,Government,199586,9th,13,Never-married,Prof-specialty,Husband,White,Female,0,0,95,United-States,>50K
26,Private,222249,10th,3,Married-civ-spouse,Machine-op-inspct,Other-relative,White,Male,0,0,23,United-States,>50K
52,Private,988466,Doctorate,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,33,United-States,<=50K
38,Private,996699,Some-college,8,Never-married,Farming-fishing,Unmarried,White,Female,0,0,68,United-States,>50K
75,Private,87383,Doctorate,7,Married-civ-spouse,Armed-Forces,Other-relative,White,Male,0,0,48,Other,>50K
35,Private,359432,Masters,5,Married-civ-spouse,Machine-op-inspct,Other-relative,White,Male,0,0,35,Germany,<=50K
89,Self-emp,354120,1st-4th,10,Married-civ-spouse,Protective-serv,Own-child,White,Male,0,0,52,United-States,>50K
60,Government,478836,12th,3,Never-married,Armed-Forces,Wife,White,Male,0,0,45,United-States,>50K
23,Government,869440,10th,15,Divorced,Armed-Forces,Own-child,Black,Female,0,0,48,Mexico,>50K
84,Private,422169,Assoc-acdm,5,Never-married,Sales,Husband,Asian-Pac-Islander,Female,0,0,70,United-States,<=50K
29,Private,728548,10th,3,Married-civ-spouse,Priv-house-serv,Wife,White,Male,0,0,25,United-States,<=50K
29,Private,751360,Assoc-acdm,10,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,68,United-States,>50K
83,Private,727160,12th,5,Divorced,Other-service,Husband,White,Male,0,319,15,United-States,<=50K
19,Government,779260,1st-4th,1,Married-civ-spouse,Tech-support,Not-in-family,Black,Female,0,0,65,United-States,<=50K
32,Private,360441,Bachelors,6,Married-civ-spouse,Protective-serv,Husband,Black,Female,0,0,17,United-States,<=50K
40,Self-emp,880300,Some-college,10,Divorced,Adm-clerical,Wife,White,Female,0,0,36,United-States,>50K
46,Private,354286,10th,4,Divorced,Adm-clerical,Wife,White,Female,0,0,80,United-States,<=50K
24,Private,970103,7th-8th,4,Never-married,Prof-specialty,Other-relative,White,Male,0,0,36,United-States,<=50K
45,Private,890966,9th,8,Married-civ-spouse,Craft-repair,Unmarried,White,Male,0,0,98,United-States,<=50K
31,Private,47985,1st-4th,2,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,55,United-States,>50K
61,Self-emp,941041,10th,4,Married-civ-spouse,Farming-fishing,Other-relative,Black,Female,0,0,50,United-States,>50K
47,Private,314861,HS-grad,15,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,88,Mexico,>50K
49,Self-emp,412243,Assoc-acdm,2,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,34,United-States,<=50K
87,Self-emp,405752,Some-college,1,Never-married,Protective-serv,Other-relative,Black,Male,0,0,95,Mexico,>50K
23,Private,798957,1st-4th,10,Never-married,Tech-support,Husband,White,Male,0,0,27,United-States,<=50K
44,Self-emp,150248,Prof-school,13,Never-married,Other-service,Own-child,White,Male,0,0,21,United-States,<=50K
41,Private,748637,Some-college,13,Never-married,Tech-support,Not-in-family,White,Male,0,0,96,United-States,>50K
51,Private,80423,5th-6th,3,Married-civ-spouse,Farming-fishing,Wife,White,Male,14687,0,60,United-States,>50K
57,Self-emp,99642,10th,12,Never-married,Tech-support,Other-relative,White,Female,0,0,48,Other,<=50K
64,Without-pay,90383,Prof-school,8,Divorced,Priv-house-serv,Unmarried,White,Male,0,0,98,United-States,>50K
41,Private,348932,Assoc-voc,6,Married-civ-spouse,Priv-house-serv,Husband,White,Male,0,0,19,United-States,<=50K
82,Private,80013,Assoc-voc,12,Married-civ-spouse,Transport-moving,Not-in-family,White,Female,0,0,83,United-States,<=50K
35,Private,134326,7th-8th,7,Married-civ-spouse,Protective-serv,Unmarried,White,Male,0,0,86,Mexico,>50K
61,Private,289899,11th,2,Married-civ-spouse,Tech-support,Husband,White,Male,79455,0,63,United-States,<=50K
74,Private,291752,1st-4th,6,Married-civ-spouse,Sales,Other-relative,White,Female,0,1233,38,United-States,<=50K
45,Government,126562,HS-grad,14,Married-civ-spouse,Protective-serv,Unmarried,White,Male,0,0,50,United-States,>50K
88,Private,69843,7th-8th,8,Never-married,Handlers-cleaners,Wife,White,Female,0,0,18,United-States,>50K
40,Private,848945,Preschool,8,Married-civ-spouse,Handlers-cleaners,Not-in-family,White,Male,0,0,72,United-States,<=50K
51,Private,868072,Doctorate,4,Married-civ-spouse,Priv-house-serv,Not-in-family,White,Male,0,0,86,United-States,<=50K
28,Private,371590,9th,6,Never-married,Protective-serv,Unmarried,White,Male,0,0,46,United-States,>50K
52,Private,423909,1st-4th,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,23,United-States,>50K
59,Private,461124,Assoc-voc,5,Never-married,Priv-house-serv,Other-relative,White,Male,0,0,82,Mexico,>50K
45,Self-emp,809158,9th,9,Never-married,Prof-specialty,Own-child,Black,Male,0,0,81,United-States,<=50K
41,Private,803330,7th-8th,8,Married-civ-spouse,Craft-repair,Not-in-family,White,Female,0,0,48,United-States,<=50K
25,Private,617796,1st-4th,2,Married-civ-spouse,Exec-managerial,Wife,White,Male,0,1368,49,United-States,<=50K
70,Self-emp,448161,HS-grad,12,Married-civ-spouse,Handlers-cleaners,Not-in-family,White,Female,0,0,63,United-States,<=50K
89,Private,186756,Prof-school,13,Married-civ-spouse,Armed-Forces,Not-in-family,White,Male,0,0,12,United-States,>50K
21,Private,260758,7th-8th,7,Married-civ-spouse,Adm-clerical,Own-child,White,Female,0,0,64,United-States,<=50K
22,Private,511182,Assoc-voc,7,Married-civ-spouse,Prof-specialty,Own-child,White,Male,0,0,42,United-States,<=50K
66,Private,185946,Doctorate,11,Married-civ-spouse,Priv-house-serv,Other-relative,White,Male,47221,2159,80,United-States,>50K
47,Private,219290,HS-grad,14,Divorced,Armed-Forces,Not-in-family,White,Male,84031,0,28,United-States,<=50K
89,Private,866310,Assoc-acdm,14,Married-civ-spouse,Farming-fishing,Not-in-family,White,Male,0,0,43,United-States,>50K
80,Self-emp,320152,Masters,12,Never-married,Sales,Husband,White,Female,0,0,87,United-States,>50K
64,Self-emp,930866,Bachelors,1,Married-civ-spouse,Other-service,Husband,White,Male,0,0,59,Canada,>50K
43,Private,90119,Bachelors,1,Never-married,Adm-clerical,Unmarried,Asian-Pac-Islander,Male,0,0,56,United-States,<=50K
74,Private,437620,7th-8th,12,Married-civ-spouse,Handlers-cleaners,Unmarried,White,Male,0,0,55,United-States,>50K
54,Private,938608,5th-6th,4,Never-married,Transport-moving,Wife,White,Male,0,0,65,United-States,>50K
24,Private,691408,9th,5,Married-civ-spouse,Armed-Forces,Wife,White,Female,0,0,66,United-States,>50K
57,Private,261987,5th-6th,15,Divorced,Protective-serv,Husband,White,Female,0,0,92,Philippines,>50K
56,Private,516628,10th,4,Married-civ-spouse,Prof-specialty,Unmarried,White,Female,0,0,60,United-States,<=50K
79,Private,551916,Preschool,7,Divorced,Handlers-cleaners,Wife,White,Male,0,1728,63,United-States,>50K
